Scenario,Species,Region,Inventory Sector,CEDS Fuel,GAINS Sector,Sectoral Emissions Fraction,2000,2005,2010,2015,2020,2030,2050
WEO2018_NPS_CLE_CH4b,NH3,AUTR_WHOL,Energy,liquid-fuel-plus-natural-gas,PP_ENG-HF-[PJ],0.007446663274297842,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
WEO2018_NPS_CLE_CH4b,NH3,AUTR_WHOL,Energy,liquid-fuel-plus-natural-gas,PP_ENG-MD-[PJ],0.051712939404846114,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
WEO2018_NPS_CLE_CH4b,NH3,AUTR_WHOL,Energy,liquid-fuel-plus-natural-gas,PP_EX_OTH-GAS-[PJ],0.07843456658351226,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015
WEO2018_NPS_CLE_CH4b,NH3,AUTR_WHOL,Energy,liquid-fuel-plus-natural-gas,PP_EX_OTH-HF-[PJ],0.05376025467588398,0.00064,0.00064,0.00064,0.00064,0.00064,0.00064,0.00064
WEO2018_NPS_CLE_CH4b,NH3,AUTR_WHOL,Energy,liquid-fuel-plus-natural-gas,PP_EX_OTH-MD-[PJ],0.041891273200148384,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015
WEO2018_NPS_CLE_CH4b,NH3,AUTR_WHOL,Energy,liquid-fuel-plus-natural-gas,PP_MOD-GAS-[PJ],0.36517747191297883,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
WEO2018_NPS_CLE_CH4b,NH3,AUTR_WHOL,Energy,liquid-fuel-plus-natural-gas,PP_NEW-GAS-[PJ],0.1833140961198747,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
WEO2018_NPS_CLE_CH4b,NH3,AUTR_WHOL,Energy,liquid-fuel-plus-natural-gas,PP_NEW-HF-[PJ],0.16325430217180553,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004
WEO2018_NPS_CLE_CH4b,NH3,AUTR_WHOL,Energy,liquid-fuel-plus-natural-gas,PP_NEW-MD-[PJ],0.05391211834126954,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
WEO2018_NPS_CLE_CH4b,NH3,AUTR_WHOL,Energy,process,CON_COMB-GAS-[PJ],0.5939040537194513,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015
